Front;Back;Tags
A bag of<br><br>I need a bag of rice from the supermarket.<br>[sound:vocab_a_bag_of_2.mp3];"<b>um pacote/saco de</b><br><br>Preciso de um saco de arroz do supermercado.<br><br><b>Collocations:</b> bag of chips; bag of rice; bag of coffee<br><br><b>Question:</b> What do you usually buy in a bag?<br><b>Answer:</b> I usually buy a bag of rice or a bag of chips.";vocabulary oral_test phase1
A bag of<br><br>He opened a bag of coffee in the kitchen.<br>[sound:vocab_a_bag_of_3.mp3];"<b>um pacote/saco de</b><br><br>Ele abriu um pacote de café na cozinha.<br><br><b>Collocations:</b> bag of chips; bag of rice; bag of coffee<br><br><b>Question:</b> What do you usually buy in a bag?<br><b>Answer:</b> I usually buy a bag of rice or a bag of chips.";vocabulary oral_test phase1
A carton of<br><br>Please buy a carton of milk.<br>[sound:vocab_a_carton_of_1.mp3];"<b>uma caixa/cartela de</b><br><br>Por favor, compre uma caixa de leite.<br><br><b>Collocations:</b> carton of milk; carton of juice; carton of eggs<br><br><b>Question:</b> What can you buy in a carton?<br><b>Answer:</b> You can buy milk, juice, or eggs in a carton.";vocabulary oral_test phase1
A carton of<br><br>There is a carton of orange juice in the fridge.<br>[sound:vocab_a_carton_of_2.mp3];"<b>uma caixa/cartela de</b><br><br>Tem uma caixa de suco de laranja na geladeira.<br><br><b>Collocations:</b> carton of milk; carton of juice; carton of eggs<br><br><b>Question:</b> What can you buy in a carton?<br><b>Answer:</b> You can buy milk, juice, or eggs in a carton.";vocabulary oral_test phase1
A carton of<br><br>I bought a carton of eggs yesterday.<br>[sound:vocab_a_carton_of_3.mp3];"<b>uma caixa/cartela de</b><br><br>Comprei uma cartela de ovos ontem.<br><br><b>Collocations:</b> carton of milk; carton of juice; carton of eggs<br><br><b>Question:</b> What can you buy in a carton?<br><b>Answer:</b> You can buy milk, juice, or eggs in a carton.";vocabulary oral_test phase1
A box of<br><br>I keep a box of cereal at home.<br>[sound:vocab_a_box_of_1.mp3];"<b>uma caixa de</b><br><br>Eu deixo uma caixa de cereal em casa.<br><br><b>Collocations:</b> box of cereal; box of chocolates; box of tissues<br><br><b>Question:</b> What do you have in a box at home?<br><b>Answer:</b> I have a box of cereal at home.";vocabulary oral_test phase1
A box of<br><br>She gave me a box of chocolates.<br>[sound:vocab_a_box_of_2.mp3];"<b>uma caixa de</b><br><br>Ela me deu uma caixa de chocolates.<br><br><b>Collocations:</b> box of cereal; box of chocolates; box of tissues<br><br><b>Question:</b> What do you have in a box at home?<br><b>Answer:</b> I have a box of cereal at home.";vocabulary oral_test phase1
A box of<br><br>We need a box of tissues for the office.<br>[sound:vocab_a_box_of_3.mp3];"<b>uma caixa de</b><br><br>Precisamos de uma caixa de lenços para o escritório.<br><br><b>Collocations:</b> box of cereal; box of chocolates; box of tissues<br><br><b>Question:</b> What do you have in a box at home?<br><b>Answer:</b> I have a box of cereal at home.";vocabulary oral_test phase1
A packet of<br><br>She opened a packet of biscuits.<br>[sound:vocab_a_packet_of_1.mp3];"<b>um pacote de</b><br><br>Ela abriu um pacote de biscoitos.<br><br><b>Collocations:</b> packet of biscuits; packet of pasta; packet of sugar<br><br><b>Question:</b> What do you usually buy in a packet?<br><b>Answer:</b> I usually buy a packet of biscuits or pasta.";vocabulary oral_test phase1
A packet of<br><br>I bought a packet of pasta for dinner.<br>[sound:vocab_a_packet_of_2.mp3];"<b>um pacote de</b><br><br>Comprei um pacote de macarrão para o jantar.<br><br><b>Collocations:</b> packet of biscuits; packet of pasta; packet of sugar<br><br><b>Question:</b> What do you usually buy in a packet?<br><b>Answer:</b> I usually buy a packet of biscuits or pasta.";vocabulary oral_test phase1
A packet of<br><br>There is a packet of sugar on the table.<br>[sound:vocab_a_packet_of_3.mp3];"<b>um pacote de</b><br><br>Tem um pacote de açúcar na mesa.<br><br><b>Collocations:</b> packet of biscuits; packet of pasta; packet of sugar<br><br><b>Question:</b> What do you usually buy in a packet?<br><b>Answer:</b> I usually buy a packet of biscuits or pasta.";vocabulary oral_test phase1
A spoonful of<br><br>Add a spoonful of sugar to the coffee.<br>[sound:vocab_a_spoonful_of_1.mp3];"<b>uma colherada de</b><br><br>Adicione uma colherada de açúcar ao café.<br><br><b>Collocations:</b> spoonful of sugar; spoonful of honey; spoonful of sauce<br><br><b>Question:</b> Do you put sugar in your coffee?<br><b>Answer:</b> Sometimes I add a spoonful of sugar.";vocabulary oral_test phase1
A spoonful of<br><br>I put a spoonful of honey in my tea.<br>[sound:vocab_a_spoonful_of_2.mp3];"<b>uma colherada de</b><br><br>Coloquei uma colherada de mel no meu chá.<br><br><b>Collocations:</b> spoonful of sugar; spoonful of honey; spoonful of sauce<br><br><b>Question:</b> Do you put sugar in your coffee?<br><b>Answer:</b> Sometimes I add a spoonful of sugar.";vocabulary oral_test phase1
A spoonful of<br><br>Just one spoonful of sauce is enough.<br>[sound:vocab_a_spoonful_of_3.mp3];"<b>uma colherada de</b><br><br>Só uma colherada de molho é suficiente.<br><br><b>Collocations:</b> spoonful of sugar; spoonful of honey; spoonful of sauce<br><br><b>Question:</b> Do you put sugar in your coffee?<br><b>Answer:</b> Sometimes I add a spoonful of sugar.";vocabulary oral_test phase1
A cup of<br><br>I drink a cup of coffee every morning.<br>[sound:vocab_a_cup_of_1.mp3];"<b>uma xícara de</b><br><br>Eu tomo uma xícara de café todas as manhãs.<br><br><b>Collocations:</b> cup of coffee; cup of tea; cup of hot chocolate<br><br><b>Question:</b> Do you prefer a cup of coffee or tea?<br><b>Answer:</b> I prefer a cup of coffee.";vocabulary oral_test phase1
A cup of<br><br>She made me a cup of tea.<br>[sound:vocab_a_cup_of_2.mp3];"<b>uma xícara de</b><br><br>Ela fez uma xícara de chá para mim.<br><br><b>Collocations:</b> cup of coffee; cup of tea; cup of hot chocolate<br><br><b>Question:</b> Do you prefer a cup of coffee or tea?<br><b>Answer:</b> I prefer a cup of coffee.";vocabulary oral_test phase1
A cup of<br><br>A cup of tea helps me relax.<br>[sound:vocab_a_cup_of_3.mp3];"<b>uma xícara de</b><br><br>Uma xícara de chá me ajuda a relaxar.<br><br><b>Collocations:</b> cup of coffee; cup of tea; cup of hot chocolate<br><br><b>Question:</b> Do you prefer a cup of coffee or tea?<br><b>Answer:</b> I prefer a cup of coffee.";vocabulary oral_test phase1
A glass of<br><br>I drank a glass of water before class.<br>[sound:vocab_a_glass_of_1.mp3];"<b>um copo de</b><br><br>Tomei um copo de água antes da aula.<br><br><b>Collocations:</b> glass of water; glass of juice; glass of milk<br><br><b>Question:</b> How many glasses of water do you drink a day?<br><b>Answer:</b> I drink about six glasses of water a day.";vocabulary oral_test phase1
A glass of<br><br>Would you like a glass of juice?<br>[sound:vocab_a_glass_of_2.mp3];"<b>um copo de</b><br><br>Você gostaria de um copo de suco?<br><br><b>Collocations:</b> glass of water; glass of juice; glass of milk<br><br><b>Question:</b> How many glasses of water do you drink a day?<br><b>Answer:</b> I drink about six glasses of water a day.";vocabulary oral_test phase1
A glass of<br><br>He had a glass of milk with breakfast.<br>[sound:vocab_a_glass_of_3.mp3];"<b>um copo de</b><br><br>Ele tomou um copo de leite no café da manhã.<br><br><b>Collocations:</b> glass of water; glass of juice; glass of milk<br><br><b>Question:</b> How many glasses of water do you drink a day?<br><b>Answer:</b> I drink about six glasses of water a day.";vocabulary oral_test phase1
A can of<br><br>He opened a can of beans.<br>[sound:vocab_a_can_of_1.mp3];"<b>uma lata de</b><br><br>Ele abriu uma lata de feijão.<br><br><b>Collocations:</b> can of beans; can of soda; can of tuna<br><br><b>Question:</b> What do people usually buy in a can?<br><b>Answer:</b> People usually buy soda, beans, or tuna in a can.";vocabulary oral_test phase1
A can of<br><br>I bought a can of soda.<br>[sound:vocab_a_can_of_2.mp3];"<b>uma lata de</b><br><br>Comprei uma lata de refrigerante.<br><br><b>Collocations:</b> can of beans; can of soda; can of tuna<br><br><b>Question:</b> What do people usually buy in a can?<br><b>Answer:</b> People usually buy soda, beans, or tuna in a can.";vocabulary oral_test phase1
A can of<br><br>There is a can of tuna in the cupboard.<br>[sound:vocab_a_can_of_3.mp3];"<b>uma lata de</b><br><br>Tem uma lata de atum no armário.<br><br><b>Collocations:</b> can of beans; can of soda; can of tuna<br><br><b>Question:</b> What do people usually buy in a can?<br><b>Answer:</b> People usually buy soda, beans, or tuna in a can.";vocabulary oral_test phase1
A jar of<br><br>There is a jar of jam in the fridge.<br>[sound:vocab_a_jar_of_1.mp3];"<b>um pote de</b><br><br>Tem um pote de geleia na geladeira.<br><br><b>Collocations:</b> jar of jam; jar of honey; jar of peanut butter<br><br><b>Question:</b> What can you put in a jar?<br><b>Answer:</b> You can put jam, honey, or peanut butter in a jar.";vocabulary oral_test phase1
A jar of<br><br>I bought a jar of peanut butter.<br>[sound:vocab_a_jar_of_2.mp3];"<b>um pote de</b><br><br>Comprei um pote de pasta de amendoim.<br><br><b>Collocations:</b> jar of jam; jar of honey; jar of peanut butter<br><br><b>Question:</b> What can you put in a jar?<br><b>Answer:</b> You can put jam, honey, or peanut butter in a jar.";vocabulary oral_test phase1
A jar of<br><br>She opened a jar of honey.<br>[sound:vocab_a_jar_of_3.mp3];"<b>um pote de</b><br><br>Ela abriu um pote de mel.<br><br><b>Collocations:</b> jar of jam; jar of honey; jar of peanut butter<br><br><b>Question:</b> What can you put in a jar?<br><b>Answer:</b> You can put jam, honey, or peanut butter in a jar.";vocabulary oral_test phase1
A tub of<br><br>I bought a tub of butter.<br>[sound:vocab_a_tub_of_1.mp3];"<b>um pote de</b><br><br>Comprei um pote de manteiga.<br><br><b>Collocations:</b> tub of butter; tub of ice cream; tub of yogurt<br><br><b>Question:</b> What food can come in a tub?<br><b>Answer:</b> Butter, yogurt, and ice cream can come in a tub.";vocabulary oral_test phase1
A tub of<br><br>We shared a tub of ice cream.<br>[sound:vocab_a_tub_of_2.mp3];"<b>um pote de</b><br><br>Dividimos um pote de sorvete.<br><br><b>Collocations:</b> tub of butter; tub of ice cream; tub of yogurt<br><br><b>Question:</b> What food can come in a tub?<br><b>Answer:</b> Butter, yogurt, and ice cream can come in a tub.";vocabulary oral_test phase1
A tub of<br><br>There is a tub of yogurt in the fridge.<br>[sound:vocab_a_tub_of_3.mp3];"<b>um pote de</b><br><br>Tem um pote de iogurte na geladeira.<br><br><b>Collocations:</b> tub of butter; tub of ice cream; tub of yogurt<br><br><b>Question:</b> What food can come in a tub?<br><b>Answer:</b> Butter, yogurt, and ice cream can come in a tub.";vocabulary oral_test phase1
A tube of<br><br>I need a tube of toothpaste.<br>[sound:vocab_a_tube_of_1.mp3];"<b>um tubo de</b><br><br>Preciso de um tubo de pasta de dente.<br><br><b>Collocations:</b> tube of toothpaste; tube of cream; tube of glue<br><br><b>Question:</b> What do you use every day that comes in a tube?<br><b>Answer:</b> I use a tube of toothpaste every day.";vocabulary oral_test phase1
A tube of<br><br>She bought a tube of hand cream.<br>[sound:vocab_a_tube_of_2.mp3];"<b>um tubo de</b><br><br>Ela comprou um tubo de creme para as mãos.<br><br><b>Collocations:</b> tube of toothpaste; tube of cream; tube of glue<br><br><b>Question:</b> What do you use every day that comes in a tube?<br><b>Answer:</b> I use a tube of toothpaste every day.";vocabulary oral_test phase1
A tube of<br><br>There is a tube of glue on the desk.<br>[sound:vocab_a_tube_of_3.mp3];"<b>um tubo de</b><br><br>Tem um tubo de cola na mesa.<br><br><b>Collocations:</b> tube of toothpaste; tube of cream; tube of glue<br><br><b>Question:</b> What do you use every day that comes in a tube?<br><b>Answer:</b> I use a tube of toothpaste every day.";vocabulary oral_test phase1
A bar of<br><br>I ate a bar of chocolate.<br>[sound:vocab_a_bar_of_1.mp3];"<b>uma barra de</b><br><br>Comi uma barra de chocolate.<br><br><b>Collocations:</b> bar of chocolate; bar of soap; protein bar<br><br><b>Question:</b> Do you like bars of chocolate?<br><b>Answer:</b> Yes, I like a bar of dark chocolate sometimes.";vocabulary oral_test phase1
A bar of<br><br>We need a bar of soap for the bathroom.<br>[sound:vocab_a_bar_of_2.mp3];"<b>uma barra de</b><br><br>Precisamos de uma barra de sabonete para o banheiro.<br><br><b>Collocations:</b> bar of chocolate; bar of soap; protein bar<br><br><b>Question:</b> Do you like bars of chocolate?<br><b>Answer:</b> Yes, I like a bar of dark chocolate sometimes.";vocabulary oral_test phase1
A bar of<br><br>He bought a protein bar after the gym.<br>[sound:vocab_a_bar_of_3.mp3];"<b>uma barra de</b><br><br>Ele comprou uma barra de proteína depois da academia.<br><br><b>Collocations:</b> bar of chocolate; bar of soap; protein bar<br><br><b>Question:</b> Do you like bars of chocolate?<br><b>Answer:</b> Yes, I like a bar of dark chocolate sometimes.";vocabulary oral_test phase1
A roll of<br><br>Do we have a roll of tape?<br>[sound:vocab_a_roll_of_1.mp3];"<b>um rolo de</b><br><br>Temos um rolo de fita?<br><br><b>Collocations:</b> roll of tape; roll of paper towels; roll of toilet paper<br><br><b>Question:</b> What do you usually buy in a roll?<br><b>Answer:</b> I usually buy toilet paper or paper towels in a roll.";vocabulary oral_test phase1
A roll of<br><br>I bought a roll of paper towels.<br>[sound:vocab_a_roll_of_2.mp3];"<b>um rolo de</b><br><br>Comprei um rolo de papel toalha.<br><br><b>Collocations:</b> roll of tape; roll of paper towels; roll of toilet paper<br><br><b>Question:</b> What do you usually buy in a roll?<br><b>Answer:</b> I usually buy toilet paper or paper towels in a roll.";vocabulary oral_test phase1
A roll of<br><br>We need a roll of toilet paper.<br>[sound:vocab_a_roll_of_3.mp3];"<b>um rolo de</b><br><br>Precisamos de um rolo de papel higiênico.<br><br><b>Collocations:</b> roll of tape; roll of paper towels; roll of toilet paper<br><br><b>Question:</b> What do you usually buy in a roll?<br><b>Answer:</b> I usually buy toilet paper or paper towels in a roll.";vocabulary oral_test phase1
A bowl of<br><br>I had a bowl of soup for dinner.<br>[sound:vocab_a_bowl_of_1.mp3];"<b>uma tigela/prato fundo de</b><br><br>Tomei uma tigela de sopa no jantar.<br><br><b>Collocations:</b> bowl of soup; bowl of cereal; bowl of rice<br><br><b>Question:</b> What do you usually eat in a bowl?<br><b>Answer:</b> I usually eat soup or cereal in a bowl.";vocabulary oral_test phase1
A bowl of<br><br>She eats a bowl of cereal every morning.<br>[sound:vocab_a_bowl_of_2.mp3];"<b>uma tigela/prato fundo de</b><br><br>Ela come uma tigela de cereal todas as manhãs.<br><br><b>Collocations:</b> bowl of soup; bowl of cereal; bowl of rice<br><br><b>Question:</b> What do you usually eat in a bowl?<br><b>Answer:</b> I usually eat soup or cereal in a bowl.";vocabulary oral_test phase1
A bowl of<br><br>A bowl of rice is enough for me.<br>[sound:vocab_a_bowl_of_3.mp3];"<b>uma tigela/prato fundo de</b><br><br>Uma tigela de arroz é suficiente para mim.<br><br><b>Collocations:</b> bowl of soup; bowl of cereal; bowl of rice<br><br><b>Question:</b> What do you usually eat in a bowl?<br><b>Answer:</b> I usually eat soup or cereal in a bowl.";vocabulary oral_test phase1
A bottle of<br><br>I always carry a bottle of water.<br>[sound:vocab_a_bottle_of_1.mp3];"<b>uma garrafa de</b><br><br>Eu sempre carrego uma garrafa de água.<br><br><b>Collocations:</b> bottle of water; bottle of juice; bottle of wine<br><br><b>Question:</b> Do you carry a bottle of water?<br><b>Answer:</b> Yes, I usually carry a bottle of water.";vocabulary oral_test phase1
A bottle of<br><br>She bought a bottle of juice.<br>[sound:vocab_a_bottle_of_2.mp3];"<b>uma garrafa de</b><br><br>Ela comprou uma garrafa de suco.<br><br><b>Collocations:</b> bottle of water; bottle of juice; bottle of wine<br><br><b>Question:</b> Do you carry a bottle of water?<br><b>Answer:</b> Yes, I usually carry a bottle of water.";vocabulary oral_test phase1
A bottle of<br><br>We opened a bottle of wine.<br>[sound:vocab_a_bottle_of_3.mp3];"<b>uma garrafa de</b><br><br>Abrimos uma garrafa de vinho.<br><br><b>Collocations:</b> bottle of water; bottle of juice; bottle of wine<br><br><b>Question:</b> Do you carry a bottle of water?<br><b>Answer:</b> Yes, I usually carry a bottle of water.";vocabulary oral_test phase1
A bucket of<br><br>The waiter brought a bucket of ice.<br>[sound:vocab_a_bucket_of_1.mp3];"<b>um balde de</b><br><br>O garçom trouxe um balde de gelo.<br><br><b>Collocations:</b> bucket of ice; bucket of water; bucket of sand<br><br><b>Question:</b> What can you put in a bucket?<br><b>Answer:</b> You can put water, ice, or sand in a bucket.";vocabulary oral_test phase1
A bucket of<br><br>We filled a bucket of water.<br>[sound:vocab_a_bucket_of_2.mp3];"<b>um balde de</b><br><br>Enchemos um balde de água.<br><br><b>Collocations:</b> bucket of ice; bucket of water; bucket of sand<br><br><b>Question:</b> What can you put in a bucket?<br><b>Answer:</b> You can put water, ice, or sand in a bucket.";vocabulary oral_test phase1
A bucket of<br><br>The kids played with a bucket of sand.<br>[sound:vocab_a_bucket_of_3.mp3];"<b>um balde de</b><br><br>As crianças brincaram com um balde de areia.<br><br><b>Collocations:</b> bucket of ice; bucket of water; bucket of sand<br><br><b>Question:</b> What can you put in a bucket?<br><b>Answer:</b> You can put water, ice, or sand in a bucket.";vocabulary oral_test phase1
A basket of<br><br>They served a basket of bread.<br>[sound:vocab_a_basket_of_1.mp3];"<b>uma cesta de</b><br><br>Eles serviram uma cesta de pão.<br><br><b>Collocations:</b> basket of bread; basket of fruit; basket of towels<br><br><b>Question:</b> What can you carry in a basket?<br><b>Answer:</b> You can carry bread, fruit, or towels in a basket.";vocabulary oral_test phase1
A basket of<br><br>She bought a basket of fruit.<br>[sound:vocab_a_basket_of_2.mp3];"<b>uma cesta de</b><br><br>Ela comprou uma cesta de frutas.<br><br><b>Collocations:</b> basket of bread; basket of fruit; basket of towels<br><br><b>Question:</b> What can you carry in a basket?<br><b>Answer:</b> You can carry bread, fruit, or towels in a basket.";vocabulary oral_test phase1
A basket of<br><br>There was a basket of towels near the pool.<br>[sound:vocab_a_basket_of_3.mp3];"<b>uma cesta de</b><br><br>Havia uma cesta de toalhas perto da piscina.<br><br><b>Collocations:</b> basket of bread; basket of fruit; basket of towels<br><br><b>Question:</b> What can you carry in a basket?<br><b>Answer:</b> You can carry bread, fruit, or towels in a basket.";vocabulary oral_test phase1
Collecting things<br><br>I enjoy collecting things from different countries.<br>[sound:vocab_collecting_things_1.mp3];"<b>colecionar coisas</b><br><br>Eu gosto de colecionar coisas de países diferentes.<br><br><b>Collocations:</b> collecting coins; collecting stamps; collecting cards<br><br><b>Question:</b> Do you like collecting things?<br><b>Answer:</b> Yes, I like collecting small things, but I try not to buy too much.";vocabulary oral_test phase1
Collecting things<br><br>Collecting things can take up a lot of space.<br>[sound:vocab_collecting_things_2.mp3];"<b>colecionar coisas</b><br><br>Colecionar coisas pode ocupar muito espaço.<br><br><b>Collocations:</b> collecting coins; collecting stamps; collecting cards<br><br><b>Question:</b> Do you like collecting things?<br><b>Answer:</b> Yes, I like collecting small things, but I try not to buy too much.";vocabulary oral_test phase1
Collecting things<br><br>My friend loves collecting old coins.<br>[sound:vocab_collecting_things_3.mp3];"<b>colecionar coisas</b><br><br>Meu amigo adora colecionar moedas antigas.<br><br><b>Collocations:</b> collecting coins; collecting stamps; collecting cards<br><br><b>Question:</b> Do you like collecting things?<br><b>Answer:</b> Yes, I like collecting small things, but I try not to buy too much.";vocabulary oral_test phase1
Doing crafts<br><br>My son enjoys doing crafts with paper and glue.<br>[sound:vocab_doing_crafts_1.mp3];"<b>fazer artesanato</b><br><br>Meu filho gosta de fazer artesanato com papel e cola.<br><br><b>Collocations:</b> doing crafts; paper crafts; craft project<br><br><b>Question:</b> Do you enjoy doing crafts?<br><b>Answer:</b> Sometimes. I think doing crafts is relaxing.";vocabulary oral_test phase1
Doing crafts<br><br>Doing crafts is a relaxing hobby.<br>[sound:vocab_doing_crafts_2.mp3];"<b>fazer artesanato</b><br><br>Fazer artesanato é um hobby relaxante.<br><br><b>Collocations:</b> doing crafts; paper crafts; craft project<br><br><b>Question:</b> Do you enjoy doing crafts?<br><b>Answer:</b> Sometimes. I think doing crafts is relaxing.";vocabulary oral_test phase1
Doing crafts<br><br>We did crafts at school when I was a child.<br>[sound:vocab_doing_crafts_3.mp3];"<b>fazer artesanato</b><br><br>Fazíamos artesanato na escola quando eu era criança.<br><br><b>Collocations:</b> doing crafts; paper crafts; craft project<br><br><b>Question:</b> Do you enjoy doing crafts?<br><b>Answer:</b> Sometimes. I think doing crafts is relaxing.";vocabulary oral_test phase1
Painting<br><br>Painting helps me relax after work.<br>[sound:vocab_painting_1.mp3];"<b>pintar/pintura</b><br><br>Pintar me ajuda a relaxar depois do trabalho.<br><br><b>Collocations:</b> painting landscapes; oil painting; painting class<br><br><b>Question:</b> Do you like painting?<br><b>Answer:</b> I like it, but I don't paint very often.";vocabulary oral_test phase1
Painting<br><br>She is very good at painting landscapes.<br>[sound:vocab_painting_2.mp3];"<b>pintar/pintura</b><br><br>Ela é muito boa em pintar paisagens.<br><br><b>Collocations:</b> painting landscapes; oil painting; painting class<br><br><b>Question:</b> Do you like painting?<br><b>Answer:</b> I like it, but I don't paint very often.";vocabulary oral_test phase1
Painting<br><br>I tried painting, but I am not very good at it.<br>[sound:vocab_painting_3.mp3];"<b>pintar/pintura</b><br><br>Tentei pintar, mas não sou muito bom nisso.<br><br><b>Collocations:</b> painting landscapes; oil painting; painting class<br><br><b>Question:</b> Do you like painting?<br><b>Answer:</b> I like it, but I don't paint very often.";vocabulary oral_test phase1
DIY<br><br>I like DIY projects at home.<br>[sound:vocab_diy_1.mp3];"<b>faça você mesmo</b><br><br>Gosto de projetos faça você mesmo em casa.<br><br><b>Collocations:</b> DIY project; DIY tools; DIY repair<br><br><b>Question:</b> Do you like DIY projects?<br><b>Answer:</b> Yes, I like DIY when it is simple and useful.";vocabulary oral_test phase1
DIY<br><br>DIY can save money, but it takes time.<br>[sound:vocab_diy_2.mp3];"<b>faça você mesmo</b><br><br>Faça você mesmo pode economizar dinheiro, mas leva tempo.<br><br><b>Collocations:</b> DIY project; DIY tools; DIY repair<br><br><b>Question:</b> Do you like DIY projects?<br><b>Answer:</b> Yes, I like DIY when it is simple and useful.";vocabulary oral_test phase1
DIY<br><br>He fixed the shelf as a DIY project.<br>[sound:vocab_diy_3.mp3];"<b>faça você mesmo</b><br><br>Ele consertou a prateleira como um projeto faça você mesmo.<br><br><b>Collocations:</b> DIY project; DIY tools; DIY repair<br><br><b>Question:</b> Do you like DIY projects?<br><b>Answer:</b> Yes, I like DIY when it is simple and useful.";vocabulary oral_test phase1
Pottery<br><br>Pottery requires patience and practice.<br>[sound:vocab_pottery_1.mp3];"<b>cerâmica</b><br><br>Cerâmica exige paciência e prática.<br><br><b>Collocations:</b> pottery class; pottery studio; handmade pottery<br><br><b>Question:</b> Have you ever tried pottery?<br><b>Answer:</b> No, but I think pottery looks interesting.";vocabulary oral_test phase1
Pottery<br><br>She took a pottery class last year.<br>[sound:vocab_pottery_2.mp3];"<b>cerâmica</b><br><br>Ela fez uma aula de cerâmica no ano passado.<br><br><b>Collocations:</b> pottery class; pottery studio; handmade pottery<br><br><b>Question:</b> Have you ever tried pottery?<br><b>Answer:</b> No, but I think pottery looks interesting.";vocabulary oral_test phase1
Pottery<br><br>Pottery looks simple, but it is not easy.<br>[sound:vocab_pottery_3.mp3];"<b>cerâmica</b><br><br>Cerâmica parece simples, mas não é fácil.<br><br><b>Collocations:</b> pottery class; pottery studio; handmade pottery<br><br><b>Question:</b> Have you ever tried pottery?<br><b>Answer:</b> No, but I think pottery looks interesting.";vocabulary oral_test phase1
Gardening<br><br>Gardening is a good way to relax.<br>[sound:vocab_gardening_1.mp3];"<b>jardinagem</b><br><br>Jardinagem é uma boa forma de relaxar.<br><br><b>Collocations:</b> gardening tools; gardening hobby; gardening tips<br><br><b>Question:</b> Do you like gardening?<br><b>Answer:</b> I like plants, but I don't do much gardening.";vocabulary oral_test phase1
