Front;Back;Tags
after<br><br>After shopping, I usually check the receipt.<br>[sound:connector_after.mp3];<b>depois</b><br><br>Depois das compras, geralmente confiro o recibo.<br><br>Tempo posterior.;connectors oral_test phase1 connector_time
when<br><br>When I go to the supermarket, I compare prices.<br>[sound:connector_when.mp3];<b>quando</b><br><br>Quando vou ao supermercado, comparo preços.<br><br>Tempo/situação.;connectors oral_test phase1 connector_time
while<br><br>I listened while she explained the question.<br>[sound:connector_while.mp3];<b>enquanto</b><br><br>Eu escutei enquanto ela explicava a pergunta.<br><br>Duas ações simultâneas.;connectors oral_test phase1 connector_time
if<br><br>If the price is too high, I don't buy it.<br>[sound:connector_if.mp3];<b>se</b><br><br>Se o preço está muito alto, eu não compro.<br><br>Condição.;connectors oral_test phase1 connector_condition
unless<br><br>I don't ask for a refund unless the product is broken.<br>[sound:connector_unless.mp3];<b>a menos que</b><br><br>Não peço reembolso a menos que o produto esteja quebrado.<br><br>Condição negativa.;connectors oral_test phase1 connector_condition
even if<br><br>Even if I make mistakes, I will keep speaking.<br>[sound:connector_even_if.mp3];<b>mesmo se</b><br><br>Mesmo se eu cometer erros, vou continuar falando.<br><br>Condição com contraste.;connectors oral_test phase1 connector_condition
as long as<br><br>I can buy it as long as the price is fair.<br>[sound:connector_as_long_as.mp3];<b>desde que/contanto que</b><br><br>Posso comprar desde que o preço seja justo.<br><br>Condição necessária.;connectors oral_test phase1 connector_condition
in order to<br><br>I study English in order to speak better at work.<br>[sound:connector_in_order_to.mp3];<b>para/a fim de</b><br><br>Estudo inglês para falar melhor no trabalho.<br><br>Propósito formal.;connectors oral_test phase1 connector_purpose
so that<br><br>I wrote it down so that I wouldn't forget.<br>[sound:connector_so_that.mp3];<b>para que</b><br><br>Eu anotei para que eu não esquecesse.<br><br>Propósito.;connectors oral_test phase1 connector_purpose
actually<br><br>Actually, I prefer paying by credit card.<br>[sound:connector_actually.mp3];<b>na verdade</b><br><br>Na verdade, prefiro pagar com cartão de crédito.<br><br>Corrigir/clarificar ideia.;connectors oral_test phase1 connector_natural
basically<br><br>Basically, I need to practice speaking every day.<br>[sound:connector_basically.mp3];<b>basicamente</b><br><br>Basicamente, preciso praticar fala todos os dias.<br><br>Resumo informal.;connectors oral_test phase1 connector_natural
by the way<br><br>By the way, did you keep the receipt?<br>[sound:connector_by_the_way.mp3];<b>a propósito</b><br><br>A propósito, você guardou o recibo?<br><br>Mudar/adicionar assunto.;connectors oral_test phase1 connector_natural
to be honest<br><br>To be honest, I don't like window shopping.<br>[sound:connector_to_be_honest.mp3];<b>para ser sincero</b><br><br>Para ser sincero, não gosto de olhar vitrines.<br><br>Opinião honesta.;connectors oral_test phase1 connector_natural
I think<br><br>I think cooking at home is better.<br>[sound:connector_i_think.mp3];<b>eu acho</b><br><br>Eu acho que cozinhar em casa é melhor.<br><br>Opinião simples.;connectors oral_test phase1 connector_opinion
I believe<br><br>I believe learning languages is important.<br>[sound:connector_i_believe.mp3];<b>eu acredito</b><br><br>Eu acredito que aprender idiomas é importante.<br><br>Opinião mais forte/formal.;connectors oral_test phase1 connector_opinion
in my opinion<br><br>In my opinion, reading is the best hobby.<br>[sound:connector_in_my_opinion.mp3];<b>na minha opinião</b><br><br>Na minha opinião, ler é o melhor hobby.<br><br>Opinião clara.;connectors oral_test phase1 connector_opinion
at least<br><br>I made mistakes, but at least I tried.<br>[sound:connector_at_least.mp3];<b>pelo menos</b><br><br>Cometi erros, mas pelo menos tentei.<br><br>Mostrar lado positivo mínimo.;connectors oral_test phase1 connector_emphasis
